date,daily_reviews,daily_avg_rating
2014-01-17,1,3.0
2014-02-03,1,5.0
2014-02-11,1,5.0
2014-02-24,1,3.0
2014-03-16,1,5.0
2014-03-24,1,1.0
2014-04-05,1,4.0
2014-04-16,1,1.0
2014-05-01,1,5.0
2014-06-07,1,5.0
2014-06-10,1,5.0
2014-07-19,1,5.0
2014-07-21,1,4.0
2014-08-12,1,4.0
2014-08-16,1,4.0
2014-08-17,1,3.0
2014-09-16,1,5.0
2014-10-02,1,4.0
2014-10-30,1,3.0
2014-11-23,1,5.0
2014-12-06,1,1.0
2014-12-08,1,5.0
2014-12-16,1,5.0
2015-02-17,1,5.0
2015-03-03,1,5.0
2015-03-14,1,5.0
2015-04-23,1,1.0
2015-04-26,1,5.0
2015-05-07,1,4.0
2015-06-23,1,3.0
2015-07-31,1,2.0
2015-10-19,1,4.0
2015-10-29,1,1.0
2015-12-27,1,5.0
2016-01-27,1,1.0
2016-02-18,1,5.0
2016-03-30,1,1.0
2016-05-05,1,4.0
2016-05-19,1,5.0
2016-08-06,1,5.0
2017-01-08,1,1.0
2017-05-22,1,4.0
2017-05-24,1,4.0
2017-05-26,1,5.0
2017-06-04,1,4.0
2017-06-21,2,5.0
2017-06-25,1,4.0
2017-07-07,1,5.0
2017-08-05,1,1.0
2017-08-07,1,5.0
2017-08-09,1,5.0
2017-09-16,1,1.0
2017-11-18,1,4.0
2018-01-05,1,5.0
2018-01-30,1,5.0
2018-02-01,1,4.0
2018-03-06,1,3.0
2018-06-24,1,5.0
2018-06-29,1,5.0
2018-07-19,1,5.0
2018-07-26,1,4.0
2018-10-09,1,2.0
2018-11-28,1,5.0
2018-12-20,1,4.0
2018-12-28,1,5.0
2019-02-08,1,5.0
2019-03-29,1,5.0
2019-03-31,1,4.0
2019-04-18,1,5.0
2019-04-24,1,5.0
2019-08-17,1,5.0
2019-09-22,1,5.0
2019-10-13,1,5.0
2019-10-18,1,5.0
2019-11-24,1,5.0
2019-12-16,1,4.0
2020-01-06,1,3.0
2020-01-11,1,5.0
2020-01-15,1,5.0
2020-01-23,1,5.0
2020-02-10,1,5.0
2020-02-15,1,1.0
2020-04-11,1,5.0
2020-05-01,1,5.0
2020-05-13,1,5.0
2020-06-02,1,5.0
2020-06-06,1,3.0
2020-08-25,1,5.0
2020-08-31,1,2.0
2020-10-02,1,5.0
2020-10-17,1,4.0
2020-11-01,1,5.0
2020-11-23,1,5.0
2020-12-10,1,4.0
2020-12-13,1,5.0
2020-12-28,1,4.0
2021-01-02,1,5.0
2021-01-03,1,4.0
2021-02-12,1,4.0
2021-03-08,1,4.0
2021-04-30,1,4.0
2021-05-18,1,4.0
2021-05-31,1,5.0
2021-07-27,1,5.0
2021-09-18,1,5.0
2021-09-21,1,1.0
2021-12-27,1,3.0
2022-03-06,1,3.0
2022-04-27,1,5.0
2022-05-30,1,1.0
2022-10-11,1,5.0
2022-10-12,1,2.0
2022-10-28,1,1.0
2023-02-17,1,4.0
2023-05-08,1,4.0
2023-05-16,1,5.0
2023-06-05,1,5.0
2023-06-29,1,5.0
2023-07-01,2,5.0
2023-07-02,2,5.0
2023-07-04,2,4.5
2023-07-05,2,5.0
2023-07-08,2,5.0
2023-07-09,5,4.2
2023-07-10,5,3.2
2023-07-11,1,2.0
2023-07-13,2,5.0
2023-07-15,1,5.0
2023-07-16,2,5.0
2023-07-17,3,4.67
2023-07-18,2,3.5
2023-07-19,2,4.0
2023-07-20,1,1.0
2023-07-23,1,5.0
2023-07-24,1,4.0
2023-07-25,3,5.0
2023-07-26,3,3.33
2023-07-27,5,5.0
2023-07-28,1,5.0
2023-07-29,4,4.25
2023-07-30,5,3.8
2023-07-31,2,4.5
2023-08-01,1,1.0
2023-08-02,3,4.33
2023-08-04,1,5.0
2023-08-05,1,5.0
2023-08-07,1,3.0
2023-08-08,3,5.0
2023-08-09,7,4.71
2023-08-10,3,5.0
2023-08-11,2,5.0
2023-08-12,1,5.0
2023-08-13,1,5.0
2023-08-14,1,5.0
2023-08-15,5,3.6
2023-08-17,1,4.0
2023-08-18,2,5.0
2023-08-19,3,3.67
2023-08-20,1,5.0
2023-08-21,2,5.0
2023-08-22,2,3.0
2023-08-24,1,4.0
2023-08-25,1,1.0
2023-08-26,1,4.0
2023-08-27,1,5.0
2023-08-29,1,5.0
2023-08-30,1,5.0
2023-08-31,3,3.67
2023-09-01,2,4.0
2023-09-02,1,1.0
2023-09-03,2,5.0
2023-09-04,1,5.0
2023-09-05,2,5.0
2023-09-06,3,5.0
2023-09-07,2,1.5
2023-09-08,3,4.33
2023-09-09,1,5.0
2023-09-10,1,4.0
2023-09-11,4,5.0
2023-09-12,1,5.0
2023-09-13,1,5.0
2023-09-15,5,3.0
2023-09-16,1,5.0
2023-09-17,2,3.5
2023-09-18,1,5.0
2023-09-20,1,1.0
2023-09-21,4,4.25
2023-09-22,1,1.0
2023-09-23,1,4.0
2023-09-24,1,1.0
2023-09-25,1,5.0
2023-09-26,2,2.0
2023-09-29,1,1.0
2023-09-30,1,1.0
2023-10-01,1,5.0
2023-10-03,1,5.0
2023-10-08,3,5.0
2023-10-09,1,2.0
2023-10-10,3,4.33
2023-10-11,1,1.0
2023-10-12,1,2.0
2023-10-13,1,5.0
2023-10-15,1,5.0
2023-10-17,2,4.0
2023-10-19,1,5.0
2023-10-20,1,5.0
2023-10-21,3,3.67
2023-10-25,1,5.0
2023-10-26,1,5.0
2023-10-27,1,5.0
2023-11-01,2,5.0
2023-11-02,1,5.0
2023-11-03,1,4.0
2023-11-04,1,1.0
2023-11-05,1,1.0
2023-11-06,1,5.0
2023-11-07,1,5.0
2023-11-08,2,4.0
2023-11-12,1,5.0
2023-11-13,2,5.0
2023-11-14,10,5.0
2023-11-15,5,5.0
2023-11-17,3,3.67
2023-11-19,1,5.0
2023-11-20,1,5.0
2023-11-22,1,2.0
2023-11-26,1,5.0
2023-11-27,2,5.0
2023-11-29,1,5.0
2023-11-30,1,4.0
2023-12-01,2,5.0
2023-12-02,1,5.0
2023-12-03,3,4.67
2023-12-04,2,2.5
2023-12-07,2,5.0
2023-12-08,2,5.0
2023-12-09,1,5.0
2023-12-11,3,4.33
2023-12-17,1,5.0
2023-12-18,3,5.0
2023-12-19,1,5.0
2023-12-20,1,4.0
2023-12-21,1,1.0
2023-12-22,2,3.5
2023-12-23,1,5.0
2023-12-27,2,5.0
2023-12-30,2,4.0
2023-12-31,2,5.0
2024-01-01,2,3.0
2024-01-04,1,5.0
2024-01-07,1,5.0
2024-01-08,1,1.0
2024-01-09,1,5.0
2024-01-10,1,5.0
2024-01-12,1,1.0
2024-01-13,1,5.0
2024-01-23,3,4.67
2024-01-25,2,4.0
2024-01-27,1,5.0
2024-01-28,1,5.0
2024-01-30,1,5.0
2024-02-02,1,4.0
2024-02-05,2,5.0
2024-02-07,1,5.0
2024-02-12,1,5.0
2024-02-13,1,5.0
2024-02-14,1,1.0
2024-02-15,1,5.0
2024-02-16,1,2.0
2024-02-17,1,4.0
2024-02-18,1,5.0
2024-02-20,1,4.0
2024-02-23,2,5.0
2024-02-25,1,3.0
2024-02-28,2,3.5
2024-02-29,3,3.33
2024-03-02,1,4.0
2024-03-03,1,5.0
2024-03-04,1,5.0
2024-03-06,2,5.0
2024-03-07,1,5.0
2024-03-09,1,5.0
2024-03-11,1,5.0
2024-03-12,1,5.0
2024-03-13,1,3.0
2024-03-15,3,4.67
2024-03-19,1,4.0
2024-03-20,2,5.0
2024-03-21,1,4.0
2024-03-22,2,3.5
2024-03-27,2,4.0
2024-03-31,1,5.0
2024-04-01,1,5.0
2024-04-02,1,5.0
2024-04-03,1,4.0
2024-04-06,1,5.0
2024-04-07,2,5.0
2024-04-08,1,3.0
2024-04-09,1,3.0
2024-04-11,1,3.0
2024-04-12,1,1.0
2024-04-13,1,4.0
2024-04-14,1,4.0
2024-04-15,1,5.0
2024-04-18,1,5.0
2024-04-20,1,5.0
2024-04-23,1,5.0
2024-04-25,4,4.25
2024-04-27,3,4.33
2024-04-28,1,1.0
2024-04-29,1,5.0
2024-05-01,1,5.0
2024-05-03,2,3.0
2024-05-05,1,5.0
2024-05-06,1,1.0
2024-05-07,2,5.0
2024-05-08,4,4.75
2024-05-09,7,4.86
2024-05-10,1,5.0
2024-05-11,1,5.0
2024-05-13,1,5.0
2024-05-14,1,4.0
2024-05-15,4,3.0
2024-05-16,3,3.67
2024-05-17,2,4.5
2024-05-20,1,5.0
2024-05-21,3,5.0
2024-05-22,1,1.0
2024-05-23,1,5.0
2024-05-24,3,4.0
2024-05-27,1,1.0
2024-05-28,1,2.0
2024-05-29,1,1.0
2024-06-04,3,5.0
2024-06-05,2,5.0
2024-06-06,1,5.0
2024-06-07,1,4.0
2024-06-08,2,4.5
2024-06-09,2,3.0
2024-06-11,1,1.0
2024-06-14,2,4.0
2024-06-15,2,1.5
2024-06-16,1,5.0
2024-06-17,1,5.0
2024-06-18,1,1.0
2024-06-19,2,3.0
2024-06-21,2,3.0
2024-06-22,1,5.0
2024-06-24,2,3.0
2024-06-26,3,4.67
2024-06-27,1,3.0
2024-06-28,2,3.5
2024-07-02,2,3.0
2024-07-04,2,1.0
2024-07-05,1,5.0
2024-07-06,1,5.0
2024-07-07,1,4.0
2024-07-08,3,5.0
2024-07-09,1,5.0
2024-07-10,3,4.33
2024-07-11,3,4.33
2024-07-12,3,3.67
2024-07-13,1,5.0
2024-07-14,2,5.0
2024-07-16,3,3.67
2024-07-17,6,5.0
2024-07-18,3,3.33
2024-07-19,4,4.25
2024-07-20,6,3.83
2024-07-21,1,5.0
2024-07-24,3,5.0
2024-07-25,2,5.0
2024-07-30,5,3.4
2024-08-01,2,4.5
2024-08-02,1,2.0
2024-08-03,4,2.25
2024-08-04,1,1.0
2024-08-05,3,2.33
2024-08-08,1,4.0
2024-08-09,3,5.0
2024-08-10,1,1.0
2024-08-11,2,3.5
2024-08-12,3,4.33
2024-08-13,5,4.4
2024-08-14,3,5.0
2024-08-15,2,5.0
2024-08-16,2,3.5
2024-08-17,5,3.2
2024-08-18,3,4.67
2024-08-20,4,3.5
2024-08-21,4,3.25
2024-08-22,2,3.0
2024-08-23,4,4.25
2024-08-25,5,3.8
2024-08-26,1,1.0
2024-08-27,1,3.0
2024-08-28,2,3.0
2024-08-29,3,3.33
2024-08-30,1,5.0
2024-08-31,2,4.5
2024-09-01,1,5.0
2024-09-02,2,4.5
2024-09-03,2,5.0
2024-09-04,3,3.67
2024-09-05,4,5.0
2024-09-08,3,3.33
2024-09-09,3,4.33
2024-09-11,1,5.0
2024-09-12,3,5.0
2024-09-13,5,1.6
2024-09-14,3,3.67
2024-09-15,1,5.0
2024-09-16,6,2.5
2024-09-17,1,3.0
2024-09-18,4,2.75
2024-09-19,2,5.0
2024-09-21,3,2.67
2024-09-22,1,5.0
2024-09-23,3,2.0
2024-09-25,2,5.0
2024-09-26,2,3.0
2024-09-27,4,5.0
2024-09-28,4,4.75
2024-09-29,2,3.0
2024-09-30,10,5.0
2024-10-02,3,2.33
2024-10-03,1,4.0
2024-10-04,5,4.2
2024-10-05,2,5.0
2024-10-06,4,4.0
2024-10-07,2,4.5
2024-10-08,1,1.0
2024-10-09,2,5.0
2024-10-11,2,4.5
2024-10-12,1,5.0
2024-10-13,1,1.0
2024-10-14,3,3.33
2024-10-15,1,5.0
2024-10-16,2,4.0
2024-10-18,1,5.0
2024-10-20,3,5.0
2024-10-21,2,3.0
2024-10-22,1,1.0
2024-10-23,7,4.43
2024-10-24,4,5.0
2024-10-25,4,2.25
2024-10-26,4,4.0
2024-10-27,5,4.2
2024-10-28,6,4.33
2024-10-29,2,5.0
2024-10-30,10,4.5
2024-10-31,6,3.83
2024-11-01,3,3.67
2024-11-02,3,4.67
2024-11-03,1,2.0
2024-11-04,3,3.67
2024-11-05,7,4.43
2024-11-06,12,4.25
2024-11-07,3,5.0
2024-11-08,4,4.0
2024-11-09,2,3.0
2024-11-10,3,3.33
2024-11-11,6,2.83
2024-11-12,3,2.33
2024-11-13,2,4.5
2024-11-14,2,3.5
2024-11-15,3,3.0
2024-11-16,3,5.0
2024-11-17,6,4.17
2024-11-18,3,3.33
2024-11-19,3,3.67
2024-11-20,2,4.0
2024-11-21,3,5.0
2024-11-22,3,4.0
2024-11-23,3,3.33
2024-11-24,4,4.0
2024-11-25,2,4.0
2024-11-27,2,5.0
2024-11-28,2,5.0
2024-11-29,1,5.0
2024-11-30,2,5.0
2024-12-01,2,3.0
2024-12-02,3,2.33
2024-12-03,3,2.33
2024-12-04,3,3.67
2024-12-06,1,5.0
2024-12-07,4,2.0
2024-12-08,1,1.0
2024-12-09,5,4.0
2024-12-10,2,3.0
2024-12-11,3,4.67
2024-12-12,2,4.0
2024-12-13,1,3.0
2024-12-14,3,3.33
2024-12-15,2,2.5
2024-12-16,3,3.33
2024-12-17,3,3.0
2024-12-18,6,5.0
2024-12-19,5,3.8
2024-12-20,4,5.0
2024-12-21,3,2.67
2024-12-22,2,5.0
2024-12-23,1,1.0
2024-12-24,1,5.0
2024-12-25,3,4.0
2024-12-27,4,2.5
2024-12-28,4,4.0
2024-12-29,2,3.0
2024-12-31,1,5.0
2025-01-01,3,4.67
2025-01-02,1,5.0
2025-01-03,2,5.0
2025-01-04,2,4.0
2025-01-05,3,2.33
2025-01-06,2,5.0
2025-01-07,4,4.25
2025-01-08,5,4.0
2025-01-09,8,3.88
2025-01-10,5,4.2
2025-01-11,2,4.0
2025-01-12,4,3.0
2025-01-13,2,3.0
2025-01-14,9,3.44
2025-01-15,3,4.0
2025-01-16,3,5.0
2025-01-17,6,3.5
2025-01-18,8,4.5
2025-01-19,7,3.86
2025-01-20,4,5.0
2025-01-21,6,3.5
2025-01-22,1,1.0
2025-01-23,3,3.0
2025-01-24,6,3.17
2025-01-25,1,5.0
2025-01-26,2,5.0
2025-01-27,5,3.2
2025-01-28,4,1.75
2025-01-30,7,3.57
2025-01-31,4,2.0
2025-02-01,6,4.5
2025-02-02,8,4.0
2025-02-03,2,4.5
2025-02-04,9,3.67
2025-02-05,17,4.29
2025-02-06,8,3.5
2025-02-07,7,3.57
2025-02-08,10,2.9
2025-02-09,7,4.29
2025-02-10,7,2.86
2025-02-11,9,3.67
2025-02-12,8,2.88
2025-02-13,9,2.67
2025-02-14,9,3.44
2025-02-15,7,4.0
2025-02-16,10,4.6
2025-02-17,8,3.62
2025-02-18,8,3.88
2025-02-19,11,3.18
2025-02-20,13,2.85
2025-02-21,4,3.75
2025-02-22,7,4.29
2025-02-23,10,3.9
2025-02-24,8,3.38
2025-02-25,7,2.86
2025-02-26,8,3.5
2025-02-27,10,3.0
2025-02-28,10,3.5
2025-03-01,9,2.44
2025-03-02,6,4.17
2025-03-03,8,4.12
2025-03-04,16,3.69
2025-03-05,10,2.8
2025-03-06,11,2.82
2025-03-07,9,3.22
2025-03-08,2,2.0
2025-03-09,11,3.91
2025-03-10,9,3.67
2025-03-11,7,2.86
2025-03-12,6,3.17
2025-03-13,13,2.54
2025-03-14,19,3.95
2025-03-15,10,4.0
2025-03-16,14,4.5
2025-03-17,17,2.82
2025-03-18,24,4.0
2025-03-19,14,4.14
2025-03-20,12,3.5
2025-03-21,16,4.56
2025-03-22,6,4.17
2025-03-23,8,4.12
2025-03-24,12,3.67
2025-03-25,12,3.17
2025-03-26,14,3.07
2025-03-27,16,3.75
2025-03-28,11,2.36
2025-03-29,5,4.2
2025-03-30,10,4.6
2025-03-31,13,4.38
2025-04-01,21,4.05
2025-04-02,23,3.78
2025-04-03,22,3.77
2025-04-04,11,3.36
2025-04-05,15,3.87
2025-04-06,13,3.38
2025-04-07,23,3.39
2025-04-08,19,3.74
2025-04-09,16,4.25
2025-04-10,16,4.12
2025-04-11,12,4.17
2025-04-12,14,2.71
2025-04-13,10,3.4
2025-04-14,12,4.08
2025-04-15,8,4.5
2025-04-16,4,2.0
2025-04-17,9,3.78
2025-04-18,12,2.92
2025-04-19,5,3.2
2025-04-20,11,4.18
2025-04-21,14,4.36
2025-04-22,5,4.4
2025-04-23,5,2.6
2025-04-24,11,2.55
2025-04-25,9,3.44
2025-04-26,3,2.0
2025-04-27,7,2.43
2025-04-28,5,4.6
2025-04-29,11,3.45
2025-04-30,11,3.27
2025-05-01,6,3.0
2025-05-02,14,3.21
2025-05-03,8,3.75
2025-05-04,5,2.4
2025-05-05,11,3.0
2025-05-06,9,3.56
2025-05-07,7,2.0
2025-05-08,6,3.67
2025-05-09,7,3.86
2025-05-10,5,4.2
2025-05-11,13,2.92
2025-05-12,8,2.12
2025-05-13,6,3.83
2025-05-14,11,3.64
2025-05-15,12,2.83
2025-05-16,8,3.75
2025-05-17,11,3.91
2025-05-18,10,2.2
2025-05-19,12,2.83
2025-05-20,14,2.86
2025-05-21,8,2.88
2025-05-22,11,3.18
2025-05-23,5,4.0
2025-05-24,8,2.5
2025-05-25,17,3.94
2025-05-26,9,2.67
2025-05-27,8,4.0
2025-05-28,5,2.8
2025-05-29,14,3.0
2025-05-30,12,2.42
2025-05-31,9,3.0
2025-06-01,8,4.88
2025-06-02,10,3.5
2025-06-03,10,3.1
2025-06-04,14,3.21
2025-06-05,13,2.85
2025-06-06,14,3.21
2025-06-07,9,3.56
2025-06-08,4,5.0
2025-06-09,12,3.17
2025-06-10,13,3.85
2025-06-11,12,2.75
2025-06-12,6,4.17
2025-06-13,12,3.17
2025-06-14,5,3.4
2025-06-15,8,3.75
2025-06-16,12,3.75
2025-06-17,12,3.58
2025-06-18,13,3.62
2025-06-19,5,5.0
2025-06-20,8,3.75
2025-06-21,11,3.45
2025-06-22,15,3.2
2025-06-23,15,3.33
2025-06-24,17,3.71
2025-06-25,12,4.58
2025-06-26,10,2.9
2025-06-27,10,4.3
2025-06-28,5,3.4
2025-06-29,8,3.62
2025-06-30,5,4.2
2025-07-01,12,3.92
2025-07-02,10,5.0
2025-07-03,8,3.5
2025-07-04,6,4.5
2025-07-05,6,3.0
2025-07-06,9,3.44
2025-07-07,5,3.8
2025-07-08,12,3.58
2025-07-09,8,3.25
2025-07-10,8,3.88
2025-07-11,9,4.44
2025-07-12,8,3.25
2025-07-13,13,3.77
2025-07-14,9,2.89
2025-07-15,15,3.87
2025-07-16,19,3.58
2025-07-17,12,3.08
2025-07-18,9,4.78
2025-07-19,9,3.22
2025-07-20,7,2.86
2025-07-21,10,5.0
2025-07-22,17,3.18
2025-07-23,17,3.88
2025-07-24,11,2.82
2025-07-25,9,3.56
2025-07-26,13,4.31
2025-07-27,11,4.55
2025-07-28,20,3.95
2025-07-29,18,4.11
2025-07-30,12,4.17
2025-07-31,22,4.09
2025-08-01,16,3.12
2025-08-02,16,4.06
2025-08-03,13,4.0
2025-08-04,18,3.94
2025-08-05,19,3.53
2025-08-06,19,3.53
2025-08-07,23,3.48
2025-08-08,18,3.56
2025-08-09,23,3.74
2025-08-10,22,4.05
2025-08-11,25,3.0
2025-08-12,21,3.95
2025-08-13,20,4.45
2025-08-14,24,4.04
2025-08-15,23,4.0
2025-08-16,22,4.32
2025-08-17,20,3.55
2025-08-18,26,3.77
2025-08-19,24,4.67
2025-08-20,27,3.74
2025-08-21,22,4.0
2025-08-22,23,4.13
2025-08-23,18,3.78
2025-08-24,18,4.06
2025-08-25,32,4.19
2025-08-26,27,4.33
2025-08-27,27,4.07
2025-08-28,23,4.22
2025-08-29,30,4.1
2025-08-30,21,4.05
2025-08-31,16,3.69
2025-09-01,21,3.71
2025-09-02,22,4.27
2025-09-03,24,3.88
2025-09-04,27,3.59
2025-09-05,24,3.88
2025-09-06,19,2.95
2025-09-07,18,3.39
2025-09-08,33,4.12
2025-09-09,32,2.84
2025-09-10,31,3.61
2025-09-11,29,3.62
2025-09-12,28,3.68
2025-09-13,29,4.17
2025-09-14,24,3.71
2025-09-15,24,4.04
2025-09-16,27,3.48
2025-09-17,23,4.26
2025-09-18,32,3.56
2025-09-19,23,3.7
2025-09-20,22,3.14
2025-09-21,27,3.22
2025-09-22,31,4.16
2025-09-23,32,3.94
2025-09-24,24,3.75
2025-09-25,33,3.48
2025-09-26,20,3.05
2025-09-27,22,4.14
2025-09-28,34,3.85
2025-09-29,40,3.92
2025-09-30,31,3.74
2025-10-01,35,3.4
2025-10-02,42,3.5
2025-10-03,20,3.75
2025-10-04,33,3.33
2025-10-05,34,3.68
2025-10-06,38,3.61
2025-10-07,56,3.68
2025-10-08,48,3.75
2025-10-09,51,3.39
2025-10-10,45,3.47
2025-10-11,40,3.1
2025-10-12,35,4.0
2025-10-13,48,3.25
2025-10-14,52,3.38
2025-10-15,48,3.5
2025-10-16,46,3.48
2025-10-17,48,3.5
2025-10-18,43,3.79
2025-10-19,41,3.61
2025-10-20,46,3.07
2025-10-21,42,3.98
2025-10-22,52,3.87
2025-10-23,48,3.69
2025-10-24,49,3.69
2025-10-25,43,3.77
2025-10-26,40,3.72
2025-10-27,35,3.17
2025-10-28,43,3.56
2025-10-29,41,3.85
2025-10-30,44,4.0
2025-10-31,41,3.41
2025-11-01,43,3.47
2025-11-02,55,3.76
2025-11-03,26,3.54
2025-11-04,41,3.63
2025-11-05,53,3.87
2025-11-06,39,3.85
2025-11-07,37,3.16
2025-11-08,39,4.21
2025-11-09,75,3.6
2025-11-10,58,3.52
2025-11-11,65,4.06
2025-11-12,55,3.51
2025-11-13,50,3.58
2025-11-14,46,3.83
2025-11-15,36,3.94
2025-11-16,47,3.7
2025-11-17,55,3.6
2025-11-18,46,3.74
2025-11-19,54,3.72
2025-11-20,52,3.62
2025-11-21,40,3.7
2025-11-22,43,3.42
2025-11-23,51,3.25
2025-11-24,65,3.52
2025-11-25,70,3.64
2025-11-26,54,3.81
2025-11-27,54,3.65
2025-11-28,53,3.72
2025-11-29,43,3.95
2025-11-30,46,3.59
2025-12-01,43,3.0
2025-12-02,57,3.58
2025-12-03,47,3.68
2025-12-04,76,3.79
2025-12-05,81,3.59
2025-12-06,69,3.78
2025-12-07,81,3.99
2025-12-08,83,4.08
2025-12-09,85,4.01
2025-12-10,84,3.93
2025-12-11,89,4.0
2025-12-12,74,4.0
2025-12-13,66,3.86
2025-12-14,74,3.93
2025-12-15,78,3.81
2025-12-16,61,3.79
2025-12-17,73,3.84
2025-12-18,76,3.61
2025-12-19,59,4.17
2025-12-20,58,3.71
2025-12-21,68,3.32
2025-12-22,58,3.84
2025-12-23,48,3.98
2025-12-24,66,4.21
2025-12-25,58,4.03
2025-12-26,61,3.64
2025-12-27,78,3.54
2025-12-28,70,3.94
2025-12-29,112,4.29
2025-12-30,101,4.13
2025-12-31,128,4.23
2026-01-01,119,4.24
2026-01-02,137,4.26
2026-01-03,147,4.27
2026-01-04,181,4.34
2026-01-05,179,4.31
2026-01-06,200,4.2
2026-01-07,197,4.26
2026-01-08,196,4.28
2026-01-09,178,4.15
2026-01-10,157,4.04
2026-01-11,2,5.0
